timestamp_separation,timestamp_sync_event,offset,mag_sampling_leading_time
866407599,56605597,1075200,0
1733284799,923482797,1078000,0
2600161999,1790359997,1080800,0
3467039199,2657237197,1083600,0
4333916399,3524114397,1086400,0
5200793599,4390991597,1089200,0
6067670799,5257868797,1092000,0
6934547999,6124745997,1094800,0
7801425199,6991623197,1097600,0
8668302399,7858500397,1100400,0
9535179599,8725377597,1103200,0
10402056799,9592254797,1106000,0
11268933999,10459131997,1108800,0
12135811199,11326009197,1111600,0
13002688399,12192886397,1114400,0
13869565599,13059763597,1117200,0
14737562799,13927760797,0,0
15605559999,14795757997,2800,0
16473557199,15663755197,5600,0
