timestamp_IMU1,accel_X_IMU1,accel_Y_IMU1,accel_Z_IMU1,gyro_X_IMU1,gyro_Y_IMU1,gyro_Z_IMU1,mag_X_IMU1,mag_Y_IMU1,mag_Z_IMU1,timestamp_IMU2,accel_X_IMU2,accel_Y_IMU2,accel_Z_IMU2,gyro_X_IMU2,gyro_Y_IMU2,gyro_Z_IMU2,mag_X_IMU2,mag_Y_IMU2,mag_Z_IMU2
2800611,0,0,0,0,0,0,267,0,0,2877611,0,0,0,0,0,0,567,0,0
3920611,0,0,0,0,0,0,246,0,0,3997611,0,0,0,0,0,0,642,0,0
5040611,0,0,0,0,0,0,229,0,0,5117611,0,0,0,0,0,0,687,0,0
6160611,0,0,0,0,0,0,207,0,0,6237611,0,0,0,0,0,0,622,0,0
7280611,0,0,0,0,0,0,231,0,0,7357611,0,0,0,0,0,0,633,0,0
8400611,0,0,0,0,0,0,244,0,0,8477611,0,0,0,0,0,0,619,0,0
9520611,0,0,0,0,0,0,212,0,0,9597611,0,0,0,0,0,0,624,0,0
10640611,0,0,0,0,0,0,251,0,0,10717611,0,0,0,0,0,0,618,0,0
11760611,0,0,0,0,0,0,263,0,0,11837611,0,0,0,0,0,0,684,0,0
12880611,0,0,0,0,0,0,264,0,0,12957611,0,0,0,0,0,0,602,0,0
14000611,0,0,0,0,0,0,251,0,0,14077611,0,0,0,0,0,0,624,0,0
15120611,0,0,0,0,0,0,251,0,0,15197611,0,0,0,0,0,0,639,0,0
16240611,0,0,0,0,0,0,250,0,0,16317611,0,0,0,0,0,0,635,0,0
17360611,0,0,0,0,0,0,178,0,0,17437611,0,0,0,0,0,0,595,0,0
18480611,0,0,0,0,0,0,205,0,0,18557611,0,0,0,0,0,0,644,0,0
19600611,0,0,0,0,0,0,237,0,0,19677611,0,0,0,0,0,0,628,0,0
20720611,0,0,0,0,0,0,254,0,0,20797611,0,0,0,0,0,0,555,0,0
21840611,0,0,0,0,0,0,220,0,0,21917611,0,0,0,0,0,0,605,0,0
22960611,0,0,0,0,0,0,241,0,0,23037611,0,0,0,0,0,0,618,0,0
24080611,0,0,0,0,0,0,259,0,0,24157611,0,0,0,0,0,0,652,0,0
25200611,0,0,0,0,0,0,206,0,0,25277611,0,0,0,0,0,0,609,0,0
26320611,0,0,0,0,0,0,213,0,0,26397611,0,0,0,0,0,0,609,0,0
27440611,0,0,0,0,0,0,255,0,0,27517611,0,0,0,0,0,0,623,0,0
28560611,0,0,0,0,0,0,224,0,0,28637611,0,0,0,0,0,0,619,0,0
29680611,0,0,0,0,0,0,235,0,0,29757611,0,0,0,0,0,0,603,0,0
30800611,0,0,0,0,0,0,244,0,0,30877611,0,0,0,0,0,0,631,0,0
31920611,0,0,0,0,0,0,243,0,0,31997611,0,0,0,0,0,0,621,0,0
33040611,0,0,0,0,0,0,228,0,0,33117611,0,0,0,0,0,0,610,0,0
34160611,0,0,0,0,0,0,243,0,0,34237611,0,0,0,0,0,0,631,0,0
35280611,0,0,0,0,0,0,257,0,0,35357611,0,0,0,0,0,0,585,0,0
36400611,0,0,0,0,0,0,266,0,0,36477611,0,0,0,0,0,0,577,0,0
37520611,0,0,0,0,0,0,263,0,0,37597611,0,0,0,0,0,0,653,0,0
38640611,0,0,0,0,0,0,238,0,0,38717611,0,0,0,0,0,0,596,0,0
39760611,0,0,0,0,0,0,255,0,0,39837611,0,0,0,0,0,0,573,0,0
40880611,0,0,0,0,0,0,243,0,0,40957611,0,0,0,0,0,0,606,0,0
42000611,0,0,0,0,0,0,229,0,0,42077611,0,0,0,0,0,0,616,0,0
43120611,0,0,0,0,0,0,230,0,0,43197611,0,0,0,0,0,0,600,0,0
44240611,0,0,0,0,0,0,219,0,0,44317611,0,0,0,0,0,0,566,0,0
45360611,0,0,0,0,0,0,243,0,0,45437611,0,0,0,0,0,0,603,0,0
46480611,0,0,0,0,0,0,272,0,0,46557611,0,0,0,0,0,0,556,0,0
47600611,0,0,0,0,0,0,289,0,0,47677611,0,0,0,0,0,0,637,0,0
48720611,0,0,0,0,0,0,223,0,0,48797611,0,0,0,0,0,0,638,0,0
49840611,0,0,0,0,0,0,276,0,0,49917611,0,0,0,0,0,0,611,0,0
50960611,0,0,0,0,0,0,302,0,0,51037611,0,0,0,0,0,0,574,0,0
52080611,0,0,0,0,0,0,199,0,0,52157611,0,0,0,0,0,0,609,0,0
53200611,0,0,0,0,0,0,234,0,0,53277611,0,0,0,0,0,0,637,0,0
54320611,0,0,0,0,0,0,261,0,0,54397611,0,0,0,0,0,0,629,0,0
55440611,0,0,0,0,0,0,233,0,0,55517611,0,0,0,0,0,0,554,0,0
56560611,0,0,0,0,0,0,276,0,0,56637611,0,0,0,0,0,0,594,0,0
57680611,0,0,0,0,0,0,239,0,0,57757611,0,0,0,0,0,0,-1416,0,0
58800611,0,0,0,0,0,0,7116,0,0,58877611,0,0,0,0,0,0,-2038,0,0
59920611,0,0,0,0,0,0,7073,0,0,59997611,0,0,0,0,0,0,-2076,0,0
61040611,0,0,0,0,0,0,7042,0,0,61117611,0,0,0,0,0,0,-2059,0,0
62160611,0,0,0,0,0,0,7102,0,0,62237611,0,0,0,0,0,0,-2085,0,0
63280611,0,0,0,0,0,0,7050,0,0,63357611,0,0,0,0,0,0,-2074,0,0
64400611,0,0,0,0,0,0,7116,0,0,64477611,0,0,0,0,0,0,-2069,0,0
65520611,0,0,0,0,0,0,7103,0,0,65597611,0,0,0,0,0,0,-2038,0,0
66640611,0,0,0,0,0,0,7083,0,0,66717611,0,0,0,0,0,0,342,0,0
67760611,0,0,0,0,0,0,274,0,0,67837611,0,0,0,0,0,0,619,0,0
68880611,0,0,0,0,0,0,273,0,0,68957611,0,0,0,0,0,0,623,0,0
70000611,0,0,0,0,0,0,261,0,0,70077611,0,0,0,0,0,0,608,0,0
71120611,0,0,0,0,0,0,231,0,0,71197611,0,0,0,0,0,0,631,0,0
72240611,0,0,0,0,0,0,270,0,0,72317611,0,0,0,0,0,0,638,0,0
73360611,0,0,0,0,0,0,182,0,0,73437611,0,0,0,0,0,0,596,0,0
74480611,0,0,0,0,0,0,269,0,0,74557611,0,0,0,0,0,0,591,0,0
75600611,0,0,0,0,0,0,227,0,0,75677611,0,0,0,0,0,0,-1096,0,0
76720611,0,0,0,0,0,0,7068,0,0,76797611,0,0,0,0,0,0,-2086,0,0
77840611,0,0,0,0,0,0,7054,0,0,77917611,0,0,0,0,0,0,-2044,0,0
78960611,0,0,0,0,0,0,7080,0,0,79037611,0,0,0,0,0,0,-2048,0,0
80080611,0,0,0,0,0,0,7073,0,0,80157611,0,0,0,0,0,0,-2023,0,0
81200611,0,0,0,0,0,0,7085,0,0,81277611,0,0,0,0,0,0,-2030,0,0
82320611,0,0,0,0,0,0,7050,0,0,82397611,0,0,0,0,0,0,-2082,0,0
83440611,0,0,0,0,0,0,7073,0,0,83517611,0,0,0,0,0,0,-2005,0,0
84560611,0,0,0,0,0,0,7083,0,0,84637611,0,0,0,0,0,0,-530,0,0
85680611,0,0,0,0,0,0,238,0,0,85757611,0,0,0,0,0,0,612,0,0
86800611,0,0,0,0,0,0,231,0,0,86877611,0,0,0,0,0,0,596,0,0
