Pulse_No_IMU1,Number_of_Samples_IMU1,Marker_IMU1,Leading_Edge_Sample_IMU1,Anomalous_IMU1,Extra_Sample_Pulse_IMU1,Pulse_No_IMU2,Number_of_Samples_IMU2,Marker_IMU2,Leading_Edge_Sample_IMU2,Anomalous_IMU2,Extra_Sample_Pulse_IMU2
0,8,=,0,0,0,0,8,=,0,0,0
1,8,=,0,0,0,1,8,=,0,0,0
2,8,=,0,0,0,2,8,=,0,0,0
3,8,=,0,0,0,3,8,=,0,0,0
4,8,=,0,0,0,4,8,=,0,0,0
5,8,=,0,0,0,5,8,=,0,0,0
6,8,=,0,0,0,6,8,=,0,0,0
7,8,=,0,0,0,7,8,=,0,0,0
8,8,=,0,0,0,8,8,=,0,0,0
9,8,=,0,0,0,9,8,=,0,0,0
10,8,=,0,0,0,10,8,=,0,0,0
11,8,=,0,0,0,11,8,=,0,0,0
12,8,=,1,0,0,12,8,=,0,0,0
13,8,=,1,0,0,13,8,=,0,0,0
14,9,+,1,0,1,14,8,=,0,0,0
15,8,=,0,0,0,15,8,=,0,0,0
16,8,=,0,0,0,16,9,+,1,0,1
17,8,=,0,0,0,17,8,=,0,0,0
18,8,=,0,0,0,18,8,=,0,0,0
19,8,=,0,0,0,19,8,=,0,0,0
20,8,=,0,0,0,20,8,=,0,0,0
21,8,=,0,0,0,21,8,=,0,0,0
22,8,=,0,0,0,22,8,=,0,0,0
23,8,=,0,0,0,23,8,=,0,0,0
24,8,=,0,0,0,24,8,=,0,0,0
25,8,=,0,0,0,25,8,=,0,0,0
26,8,=,0,0,0,26,8,=,0,0,0
27,8,=,0,0,0,27,8,=,0,0,0
28,8,=,0,0,0,28,8,=,0,0,0
29,8,=,0,0,0,29,8,=,0,0,0
30,8,=,0,0,0,30,8,=,0,0,0
31,8,=,0,0,0,31,8,=,0,0,0
32,8,=,0,0,0,32,8,=,0,0,0
33,8,=,0,0,0,33,8,=,0,0,0
34,8,=,0,0,0,34,8,=,0,0,0
35,8,=,0,0,0,35,8,=,0,0,0
36,8,=,0,0,0,36,8,=,0,0,0
37,8,=,0,0,0,37,8,=,0,0,0
38,8,=,0,0,0,38,8,=,0,0,0
39,8,=,0,0,0,39,8,=,0,0,0
40,8,=,0,0,0,40,8,=,0,0,0
41,8,=,0,0,0,41,8,=,0,0,0
42,8,=,0,0,0,42,8,=,0,0,0
