Pulse_No_IMU1,Number_of_Samples_IMU1,Marker_IMU1,Leading_Edge_Sample_IMU1,Anomalous_IMU1,Extra_Sample_Pulse_IMU1,Pulse_No_IMU2,Number_of_Samples_IMU2,Marker_IMU2,Leading_Edge_Sample_IMU2,Anomalous_IMU2,Extra_Sample_Pulse_IMU2
0,9,+,1,0,0,0,8,=,0,0,0
1,8,=,0,0,0,1,8,=,0,0,0
2,8,=,0,0,0,2,8,=,0,0,0
3,8,=,0,0,0,3,8,=,0,0,0
4,8,=,0,0,0,4,8,=,0,0,0
5,8,=,0,0,0,5,8,=,0,0,0
6,8,=,0,0,0,6,8,=,0,0,0
7,8,=,0,0,0,7,8,=,0,0,0
8,8,=,0,0,0,8,8,=,0,0,0
9,8,=,0,0,0,9,8,=,0,0,0
10,8,=,0,0,0,10,8,=,0,0,0
11,8,=,0,0,0,11,8,=,0,0,0
12,8,=,0,0,0,12,8,=,0,0,0
13,8,=,0,0,0,13,8,=,0,0,0
14,8,=,0,0,0,14,8,=,0,0,0
15,8,=,0,0,0,15,8,=,0,0,0
16,8,=,0,0,0,16,8,=,0,0,0
17,8,=,0,0,0,17,8,=,0,0,0
18,8,=,0,0,0,18,8,=,0,0,0
19,8,=,0,0,0,19,8,=,0,0,0
20,8,=,0,0,0,20,8,=,0,0,0
21,8,=,0,0,0,21,8,=,0,0,0
22,8,=,0,0,0,22,8,=,0,0,0
23,8,=,0,0,0,23,8,=,0,0,0
24,8,=,0,0,0,24,8,=,0,0,0
25,8,=,0,0,0,25,8,=,0,0,0
26,8,=,0,0,0,26,8,=,0,0,0
27,8,=,0,0,0,27,8,=,0,0,0
28,8,=,0,0,0,28,8,=,0,0,0
29,8,=,0,0,0,29,8,=,0,0,0
30,8,=,0,0,0,30,8,=,0,0,0
31,8,=,0,0,0,31,8,=,0,0,0
32,8,=,0,0,0,32,8,=,0,0,0
33,8,=,0,0,0,33,8,=,0,0,0
34,8,=,0,0,0,34,8,=,0,0,0
35,8,=,0,0,0,35,8,=,0,0,0
36,8,=,0,0,0,36,8,=,0,0,0
37,8,=,0,0,0,37,8,=,0,0,0
38,8,=,0,0,0,38,8,=,0,0,0
39,8,=,0,0,0,39,8,=,0,0,0
40,8,=,1,0,0,40,8,=,0,0,0
41,8,=,0,0,0,41,8,=,0,0,0
42,8,=,1,0,0,42,8,=,0,0,0
43,8,=,0,0,0,43,8,=,0,0,0
44,8,=,1,0,0,44,8,=,0,0,0
45,8,=,1,0,0,45,8,=,0,0,0
46,8,=,1,0,0,46,8,=,0,0,0
47,8,=,1,0,0,47,8,=,0,0,0
48,9,+,1,0,1,48,8,=,0,0,0
49,8,=,0,0,0,49,8,=,0,0,0
50,8,=,0,0,0,50,8,=,1,0,0
51,8,=,0,0,0,51,8,=,1,0,0
52,8,=,0,0,0,52,8,=,1,0,0
53,8,=,0,0,0,53,9,+,1,0,1
54,8,=,0,0,0,54,8,=,0,0,0
55,8,=,0,0,0,55,8,=,0,0,0
56,8,=,0,0,0,56,8,=,0,0,0
57,8,=,0,0,0,57,8,=,0,0,0
58,8,=,0,0,0,58,8,=,0,0,0
59,8,=,0,0,0,59,8,=,0,0,0
60,8,=,0,0,0,60,8,=,0,0,0
61,8,=,0,0,0,61,8,=,0,0,0
62,8,=,0,0,0,62,8,=,0,0,0
63,8,=,0,0,0,63,8,=,0,0,0
64,8,=,0,0,0,64,8,=,0,0,0
65,8,=,0,0,0,65,8,=,0,0,0
66,8,=,0,0,0,66,8,=,0,0,0
67,8,=,0,0,0,67,8,=,0,0,0
68,8,=,0,0,0,68,8,=,0,0,0
69,8,=,0,0,0,69,8,=,0,0,0
70,8,=,0,0,0,70,8,=,0,0,0
71,8,=,0,0,0,71,8,=,0,0,0
72,8,=,0,0,0,72,8,=,0,0,0
73,8,=,0,0,0,73,8,=,0,0,0
74,8,=,0,0,0,74,8,=,0,0,0
75,8,=,0,0,0,75,8,=,0,0,0
76,8,=,0,0,0,76,8,=,0,0,0
77,8,=,0,0,0,77,8,=,0,0,0
78,8,=,0,0,0,78,8,=,0,0,0
79,8,=,0,0,0,79,8,=,0,0,0
80,8,=,0,0,0,80,8,=,0,0,0
81,8,=,0,0,0,81,8,=,0,0,0
82,8,=,0,0,0,82,8,=,0,0,0
