timestamp_separation,timestamp_sync_event,offset,mag_sampling_leading_time
187320799,57680797,0,0
374357999,244717997,2800,0
561395199,431755197,5600,0
748432399,618792397,8400,0
935469599,805829597,11200,0
1122506799,992866797,14000,0
1309543999,1179903997,16800,0
1496581199,1366941197,19600,0
1683618399,1553978397,22400,0
1870655599,1741015597,25200,0
2057692799,1928052797,28000,0
2244729999,2115089997,30800,0
2431767199,2302127197,33600,0
2618804399,2489164397,36400,0
2805841599,2676201597,39200,0
2992878799,2863238797,42000,0
3179915999,3050275997,44800,0
3366953199,3237313197,47600,0
3553990399,3424350397,50400,0
3741027599,3611387597,53200,0
3928064799,3798424797,56000,0
4115101999,3985461997,58800,0
4302139199,4172499197,61600,0
4489176399,4359536397,64400,0
4676213599,4546573597,67200,0
4863250799,4733610797,70000,0
5050287999,4920647997,72800,0
5237325199,5107685197,75600,0
5424362399,5294722397,78400,0
5611399599,5481759597,81200,0
5798436799,5668796797,84000,0
5985473999,5855833997,86800,0
6172511199,6042871197,89600,0
6359548399,6229908397,92400,0
6546585599,6416945597,95200,0
6733622799,6603982797,98000,0
6920659999,6791019997,100800,0
7107697199,6978057197,103600,0
7294734399,7165094397,106400,0
7481771599,7352131597,109200,0
7668808799,7539168797,112000,0
7855845999,7726205997,114800,0
8042883199,7913243197,117600,0
8229920399,8100280397,120400,0
8416957599,8287317597,123200,0
8603994799,8474354797,126000,0
8791031999,8661391997,128800,0
8978069199,8848429197,131600,0
9165106399,9035466397,134400,0
9352143599,9222503597,137200,0
9539180799,9409540797,140000,0
9726217999,9596577997,142800,0
9913255199,9783615197,145600,0
10100292399,9970652397,148400,0
10287329599,10157689597,151200,0
10474366799,10344726797,154000,0
10661403999,10531763997,156800,0
10848441199,10718801197,159600,0
11035478399,10905838397,162400,0
11222515599,11092875597,165200,0
11409552799,11279912797,168000,0
11596589999,11466949997,170800,0
11783627199,11653987197,173600,0
11970664399,11841024397,176400,0
12157701599,12028061597,179200,0
12344738799,12215098797,182000,0
12531775999,12402135997,184800,0
12718813199,12589173197,187600,0
12905850399,12776210397,190400,0
13092887599,12963247597,193200,0
13279924799,13150284797,196000,0
13466961999,13337321997,198800,0
13653999199,13524359197,201600,0
13841036399,13711396397,204400,0
14028073599,13898433597,207200,0
14215110799,14085470797,210000,0
14402147999,14272507997,212800,0
14589185199,14459545197,215600,0
14776222399,14646582397,218400,0
14963259599,14833619597,221200,0
15150296799,15020656797,224000,0
15337333999,15207693997,226800,0
15524371199,15394731197,229600,0
15711408399,15581768397,232400,0
15898445599,15768805597,235200,0
16085482799,15955842797,238000,0
16272519999,16142879997,240800,0
16459557199,16329917197,243600,0
16646594399,16516954397,246400,0
16833631599,16703991597,249200,0
17020668799,16891028797,252000,0
17207705999,17078065997,254800,0
17394743199,17265103197,257600,0
17581780399,17452140397,260400,0
17768817599,17639177597,263200,0
17955854799,17826214797,266000,0
18142891999,18013251997,268800,0
18329929199,18200289197,271600,0
18516966399,18387326397,274400,0
18704003599,18574363597,277200,0
18891040799,18761400797,280000,0
19078077999,18948437997,282800,0
19265115199,19135475197,285600,0
19452152399,19322512397,288400,0
19639189599,19509549597,291200,0
19826226799,19696586797,294000,0
20013263999,19883623997,296800,0
20200301199,20070661197,299600,0
20387338399,20257698397,302400,0
20574375599,20444735597,305200,0
20761412799,20631772797,308000,0
20948449999,20818809997,310800,0
21135487199,21005847197,313600,0
21322524399,21192884397,316400,0
21509561599,21379921597,319200,0
21696598799,21566958797,322000,0
21883635999,21753995997,324800,0
22070673199,21941033197,327600,0
22257710399,22128070397,330400,0
22444747599,22315107597,333200,0
22631784799,22502144797,336000,0
22818821999,22689181997,338800,0
23005859199,22876219197,341600,0
23192896399,23063256397,344400,0
23379933599,23250293597,347200,0
23566970799,23437330797,350000,0
23754007999,23624367997,352800,0
23941045199,23811405197,355600,0
24128082399,23998442397,358400,0
24315119599,24185479597,361200,0
24502156799,24372516797,364000,0
24689193999,24559553997,366800,0
