Time resolution is 1 ps
Time	State	Sample Valid	SPI CS	SPI CLK	TX Byte	RX Byte	Bytes Sent
0	0	0	1	1	00	00	  0
0	0	0	1	1	00	00	  0
1000	0	0	1	1	00	00	  0
1000	0	0	1	1	00	00	  0
1000	0	0	1	1	00	00	  0
1000	0	0	1	1	00	00	  0
1000	0	0	1	1	00	00	  0
2000	0	0	1	1	80	00	  0
2000	0	0	0	1	80	00	  1
2000	0	0	0	1	80	00	  1
2000	0	0	0	1	80	00	  1
2000	0	0	0	0	80	00	  1
3000	0	0	0	0	80	00	  1
3000	0	0	0	1	80	80	  1
3000	0	0	0	1	80	80	  1
3000	0	0	0	0	80	80	  1
3000	0	0	0	0	80	80	  1
4000	0	0	0	1	80	80	  1
4000	0	0	0	1	80	80	  1
4000	0	0	0	0	80	80	  1
4000	0	0	0	0	80	80	  1
4000	0	0	0	1	80	80	  1
5000	0	0	0	1	80	80	  1
5000	0	0	0	0	80	80	  1
5000	0	0	0	0	80	80	  1
5000	0	0	0	1	80	80	  1
5000	0	0	0	1	80	80	  1
6000	0	0	0	0	80	80	  1
6000	0	0	0	0	80	80	  1
6000	0	0	0	1	80	80	  1
6000	0	0	0	1	80	80	  1
6000	0	0	0	0	80	80	  1
7000	0	0	0	0	80	80	  1
7000	0	0	0	1	80	80	  1
7000	0	0	0	1	80	80	  1
7000	0	0	0	0	80	80	  1
7000	0	0	0	0	80	80	  1
8000	0	0	0	1	80	80	  1
8000	0	0	0	1	80	80	  1
8000	0	0	0	0	80	80	  1
8000	0	0	0	0	80	80	  1
8000	0	0	0	1	80	80	  1
9000	0	0	0	1	00	80	  1
9000	0	0	0	1	00	80	  2
9000	1	0	0	1	00	80	  0
9000	1	0	0	1	00	80	  0
9000	1	0	0	0	00	80	  0
10000	1	0	0	0	00	80	  0
10000	1	0	0	1	00	00	  0
10000	1	0	0	1	00	00	  0
10000	1	0	0	0	00	00	  0
10000	1	0	0	0	00	00	  0
11000	1	0	0	1	00	00	  0
11000	1	0	0	1	00	00	  0
11000	1	0	0	0	00	00	  0
11000	1	0	0	0	00	00	  0
11000	1	0	0	1	00	00	  0
12000	1	0	0	1	00	00	  0
12000	1	0	0	0	00	00	  0
12000	1	0	0	0	00	00	  0
12000	1	0	0	1	00	00	  0
12000	1	0	0	1	00	00	  0
13000	1	0	0	0	00	00	  0
13000	1	0	0	0	00	00	  0
13000	1	0	0	1	00	00	  0
13000	1	0	0	1	00	00	  0
13000	1	0	0	0	00	00	  0
14000	1	0	0	0	00	00	  0
14000	1	0	0	1	00	00	  0
14000	1	0	0	1	00	00	  0
14000	1	0	0	0	00	00	  0
14000	1	0	0	0	00	00	  0
15000	1	0	0	1	00	00	  0
15000	1	0	0	1	00	00	  0
15000	1	0	0	0	00	00	  0
15000	1	0	0	0	00	00	  0
15000	1	0	0	1	00	00	  0
16000	1	0	0	1	00	00	  0
16000	1	0	0	1	00	00	  0
16000	1	0	1	1	00	00	  0
16000	1	0	1	1	00	00	  0
16000	1	0	1	1	00	00	  0
17000	1	0	1	1	00	00	  0
17000	1	0	1	1	00	00	  0
17000	1	0	1	1	00	00	  0
17000	1	0	1	1	00	00	  0
17000	1	0	1	1	00	00	  0
18000	1	0	1	1	00	00	  0
18000	1	0	1	1	00	00	  0
18000	1	0	1	1	00	00	  0
18000	1	0	1	1	00	00	  0
18000	2	0	1	1	00	00	  0
19000	2	0	1	1	00	00	  0
19000	2	0	1	1	00	00	  0
19000	2	0	1	1	00	00	  0
19000	2	0	1	1	00	00	  0
19000	2	0	1	1	00	00	  0
20000	2	0	1	1	00	00	  0
20000	2	0	1	1	00	00	  0
20000	2	0	1	1	00	00	  0
20000	2	0	1	1	00	00	  0
20000	2	0	1	1	00	00	  0
21000	2	0	1	1	00	00	  0
21000	2	0	1	1	00	00	  0
21000	2	0	1	1	00	00	  0
21000	2	0	1	1	00	00	  0
21000	2	0	1	1	00	00	  0
22000	2	0	1	1	00	00	  0
22000	2	0	1	1	00	00	  0
22000	2	0	1	1	00	00	  0
22000	2	0	1	1	00	00	  0
22000	2	0	1	1	00	00	  0
23000	2	0	1	1	00	00	  0
23000	2	0	1	1	00	00	  0
23000	2	0	1	1	00	00	  0
23000	2	0	1	1	00	00	  0
23000	2	0	1	1	00	00	  0
24000	2	0	1	1	00	00	  0
24000	2	0	1	1	00	00	  0
24000	2	0	1	1	00	00	  0
24000	2	0	1	1	00	00	  0
24000	2	0	1	1	00	00	  0
25000	2	0	1	1	00	00	  0
25000	2	0	1	1	00	00	  0
25000	2	0	1	1	00	00	  0
25000	2	0	1	1	00	00	  0
25000	2	0	1	1	00	00	  0
26000	2	0	1	1	00	00	  0
26000	2	0	1	1	00	00	  0
26000	2	0	1	1	00	00	  0
26000	2	0	1	1	00	00	  0
26000	2	0	1	1	00	00	  0
27000	2	0	1	1	00	00	  0
27000	2	0	1	1	00	00	  0
27000	2	0	1	1	00	00	  0
27000	2	0	1	1	00	00	  0
27000	2	0	1	1	00	00	  0
28000	2	0	1	1	00	00	  0
28000	2	0	1	1	00	00	  0
28000	2	0	1	1	00	00	  0
28000	2	0	1	1	00	00	  0
28000	2	0	1	1	00	00	  0
29000	2	0	1	1	00	00	  0
29000	2	0	1	1	00	00	  0
29000	2	0	1	1	00	00	  0
29000	2	0	1	1	00	00	  0
29000	2	0	1	1	00	00	  0
30000	2	0	1	1	00	00	  0
30000	2	0	1	1	00	00	  0
30000	2	0	1	1	00	00	  0
30000	2	0	1	1	00	00	  0
